id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
109,0,-116,-116,-122,-122
109,0.11111,0,0,0,0
109,0.22222,116,116,122,122
109,0.33333,224,224,282,282
109,0.44444,344,344,414,414
109,0.55556,448,448,564,564
109,0.66667,586,586,1020,3000
109,0.77778,690,690,1206,3000
109,0.88889,794,794,1316,3000
109,1,900,900,1398,3000
110,0,-146,-146,-132,-132
110,0.1,0,0,0,0
110,0.2,146,146,132,132
110,0.3,246,246,276,276
110,0.4,344,344,400,400
110,0.5,452,452,506,506
110,0.6,554,554,668,668
110,0.7,666,666,1070,3000
110,0.8,762,762,1242,3000
110,0.9,858,858,1348,3000
110,1,958,958,1430,3000
307,0,-94,-94,-198,-198
307,0.14286,0,0,0,0
307,0.28571,94,94,198,198
307,0.42857,186,186,360,360
307,0.57143,278,278,830,3000
307,0.71429,372,372,982,3000
307,0.85714,464,464,1080,3000
307,1,558,558,1154,3000
406,0,-92,-92,-128,-128
406,0.16667,0,0,0,0
406,0.33333,92,92,128,128
406,0.5,184,184,414,3000
406,0.66667,276,276,780,3000
406,0.83333,368,368,940,3000
406,1,460,460,1048,3000
407,0,-76,-76,-96,-96
407,0.14286,0,0,0,0
407,0.28571,76,76,96,96
407,0.42857,154,154,256,256
407,0.57143,230,230,798,3000
407,0.71429,308,308,926,3000
407,0.85714,384,384,1010,3000
407,1,462,462,1076,3000
506,0,-72,-72,-80,-80
506,0.16667,0,0,0,0
506,0.33333,72,72,80,80
506,0.5,146,146,682,3000
506,0.66667,220,220,828,3000
506,0.83333,292,292,918,3000
506,1,366,366,988,3000
