Date,Type_mesure,rep,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert
27/01/2011,scan_prelv1,r1,271,0.131,0.13,0.153311911,0.152
27/01/2011,scan_prelv1,r2,271,0.115,0.115,0.131895493,0.132
27/01/2011,scan_prelv1,r3,271,0.114,0.114,0.141312743,0.141
27/01/2011,scan_prelv1,r4,271,0.104,0.106,0.121844781,0.124
10/03/2011,scan_prelv2,r1,466,0.372,0.355,0.426238831,0.409
10/03/2011,scan_prelv2,r2,466,0.389,0.378,0.449559901,0.438
10/03/2011,scan_prelv2,r3,466,0.34,0.337,0.394651822,0.391
10/03/2011,scan_prelv2,r4,466,0.379,0.377,0.434471009,0.433
28/03/2011,scan_prelv3,r1,637,0.796,0.705,0.877050328,0.787
28/03/2011,scan_prelv3,r2,637,1.023,0.9,1.130917381,1.008
28/03/2011,scan_prelv3,r3,637,0.838,0.776,0.94673025,0.884
28/03/2011,scan_prelv3,r4,637,0.843,0.754,0.939119218,0.851
20/04/2011,scan_prelv4,r1,922,1.645,1.451,0,0
20/04/2011,scan_prelv4,r2,922,2.792,2.514,3.18578452,2.908
20/04/2011,scan_prelv4,r3,922,1.495,1.25,1.681987643,1.437
20/04/2011,scan_prelv4,r4,922,2.121,1.851,2.403982555,2.134
04/05/2011,scan_prelv5,r1,1125,2.886,2.683201967,3.416669666,3.153273826
04/05/2011,scan_prelv5,r2,1125,3.604,3.320113104,4.285474437,3.841491062
04/05/2011,scan_prelv5,r3,1125,3.042,2.815461159,3.637856322,3.262921943
04/05/2011,scan_prelv5,r4,1125,3.180,2.936175454,3.821865596,3.41164514
24/05/2011,scan_prelv6,r1,1428,2.583296406,2.253241871,3.831544416,3.235388492
24/05/2011,scan_prelv6,r2,1428,2.346484134,1.997911319,3.52831202,2.871224209
24/05/2011,scan_prelv6,r3,1428,2.905744214,2.499834082,4.347044226,3.62777113
24/05/2011,scan_prelv6,r4,1428,2.084264407,1.807710788,3.086636705,2.556617212
