"plant","axe","nf","end","disp","dimIndex","phenIndex","emf1","ligf1","senf1","dispf1"
1,0,12,NA,NA,1,1,-63.8860068462659,98.3047068468673,393.095932372761,593.095932372760
1,1,6,414.974791666667,1014.97479166667,2,2,223.514677565630,365.970346805074,656.733083297947,856.733083297947
1,2,8,NA,NA,3,3,288.382464276540,425.472501102872,722.589985743088,922.589985743088
1,3,5,841.133625,1441.133625,4,4,348.002322537014,479.125753414784,788.689179520495,988.689179520495
1,4,4,1117.399875,1717.399875,5,5,429.569541095238,562.189670291939,949.649575799399,1149.64957579940
2,0,12,NA,NA,1,1,-45.5078463268689,116.682867366264,411.474092892158,611.474092892158
2,1,9,NA,NA,2,2,196.208307388665,338.663976628109,629.426713120982,829.426713120982
2,2,6,638.623208333333,1238.62320833333,3,3,266.441216349969,403.531253176301,700.648737816517,900.648737816517
2,3,5,1026.43775,1626.43775,4,4,349.979611683654,481.103042561424,790.666468667136,990.666468667136
2,4,4,744.377166666667,1344.37716666667,5,5,419.342802462808,551.962931659509,939.422837166969,1139.42283716697
3,0,12,NA,NA,1,1,-3.08492248461689,159.105791208516,453.897016734409,653.89701673441
3,1,6,550.063791666667,1150.06379166667,2,2,182.728184903241,325.183854142685,615.946590635558,815.946590635558
3,2,8,NA,NA,3,3,234.690393712185,371.780430538517,668.897915178733,868.897915178733
3,3,5,744.377166666667,1344.37716666667,4,4,280.301768634254,411.425199512024,720.988625617736,920.988625617736
3,4,4,744.377166666667,1344.37716666667,5,5,354.582420907466,487.202550104167,874.662455611627,1074.66245561163
4,0,12,NA,NA,1,1,-103.548431299145,58.6422823939883,353.433507919881,553.433507919882
4,1,9,NA,NA,2,2,250.727384954427,393.183054193871,683.945790686744,883.945790686744
4,2,6,744.377166666667,1344.37716666667,3,3,319.748118198486,456.838155024818,753.955639665034,953.955639665034
4,3,5,744.377166666667,1344.37716666667,4,4,365.43483862554,496.55826950331,806.121695609022,1006.12169560902
4,4,4,744.377166666667,1344.37716666667,5,5,556.198981468361,688.819110665062,1076.27901617252,1276.27901617252
5,0,12,NA,NA,1,1,-67.8899606805609,94.3007530125723,389.091978538465,589.091978538465
5,1,6,414.974791666667,1014.97479166667,2,2,250.863279831180,393.318949070624,684.081685563497,884.081685563497
5,2,8,NA,NA,3,3,268.484135299027,405.574172125359,702.691656765575,902.691656765575
5,3,5,550.063791666667,1150.06379166667,4,4,354.844127205045,485.967558082815,795.530984188527,995.530984188527
5,4,4,1117.399875,1717.399875,5,5,460.394978879516,593.015108076217,980.475013583677,1180.47501358368
6,0,9,550.063791666667,1150.06379166667,1,1,-51.2805023224969,110.910211370636,405.701436896529,605.701436896529
6,1,9,NA,NA,2,2,200.934651488688,343.390320728132,634.153057221005,834.153057221005
6,2,9,NA,NA,3,3,209.874890681557,346.964927507889,644.082412148105,844.082412148105
6,3,7,NA,NA,4,4,342.813610940441,473.937041818211,783.500467923923,983.500467923923
6,4,4,841.133625,1441.133625,5,5,400.396507050682,533.016636247383,920.476541754843,1120.47654175484
7,0,12,NA,NA,1,1,-72.6645826876869,89.5261310054463,384.317356531339,584.31735653134
7,1,9,NA,NA,2,2,238.782860276836,381.23852951628,672.001266009153,872.001266009153
7,2,8,NA,NA,3,3,303.868921036918,440.95895786325,738.076442503466,938.076442503466
7,3,5,744.377166666667,1344.37716666667,4,4,374.822334592862,505.945765470632,815.509191576343,1015.50919157634
7,4,4,638.623208333333,1238.62320833333,5,5,471.791655599392,604.411784796093,991.871690303553,1191.87169030355
8,0,11,NA,NA,1,1,-41.3183076538949,120.872406039238,415.663631565131,615.663631565131
8,1,6,744.377166666667,1344.37716666667,2,2,289.586648110797,432.042317350241,722.805053843114,922.805053843114
8,2,6,1026.43775,1626.43775,3,3,344.441920918699,481.531957745031,778.649442385247,978.649442385247
8,3,5,744.377166666667,1344.37716666667,4,4,415.150980434404,546.274411312174,855.837837417886,1055.83783741789
9,0,12,NA,NA,1,1,-30.0369164617589,132.153797231374,426.945022757267,626.945022757267
9,1,9,NA,NA,2,2,218.048240177233,360.503909416677,651.26664590955,851.26664590955
9,2,8,NA,NA,3,3,269.400918755941,406.490955582273,703.608440222489,903.608440222489
9,3,5,744.377166666667,1344.37716666667,4,4,321.400216114145,452.523646991915,762.087073097626,962.087073097626
9,4,4,682.596791666667,1282.59679166667,5,5,419.245308503032,551.865437699733,939.325343207193,1139.32534320719
10,0,12,NA,NA,1,1,-52.5842991020029,109.606414591130,404.397640117023,604.397640117023
10,1,6,464.247,1064.247,2,2,210.149555777886,352.60522501733,643.367961510203,843.367961510203
10,2,8,NA,NA,3,3,276.172947148562,413.262983974894,710.38046861511,910.38046861511
10,3,5,841.133625,1441.133625,4,4,362.070772425836,493.194203303606,802.757629409318,1002.75762940932
10,4,4,913.004416666667,1513.00441666667,5,5,469.321412769628,601.941541966329,989.401447473789,1189.40144747379
11,0,12,NA,NA,1,1,-22.8448018094789,139.345911883654,434.137137409547,634.137137409547
11,1,6,682.596791666667,1282.59679166667,2,2,201.630997903395,344.086667142839,634.849403635712,834.849403635712
11,2,8,NA,NA,3,3,254.997038357444,392.087075183776,689.204559823992,889.204559823992
11,3,7,NA,NA,4,4,327.937764393704,459.061195271474,768.624621377186,968.624621377186
11,4,4,1117.399875,1717.399875,5,5,404.733424748314,537.353553945015,924.813459452475,1124.81345945247
12,0,12,NA,NA,1,1,-28.9454076998939,133.245305993239,428.036531519132,628.036531519132
12,1,6,1026.43775,1626.43775,2,2,213.033631755088,355.489300994532,646.252037487405,846.252037487405
12,2,9,NA,NA,3,3,260.795394795335,397.885431621667,695.002916261883,895.002916261883
12,3,8,NA,NA,4,4,329.94717697145,461.07060784922,770.634033954932,970.634033954932
12,4,4,1117.399875,1717.399875,5,5,398.352951449814,530.973080646515,918.432986153975,1118.43298615397
13,0,12,NA,NA,1,1,-10.8359187543839,151.354794938749,446.146020464643,646.146020464642
13,1,6,841.133625,1441.133625,2,2,240.406317211863,382.861986451307,673.62472294418,873.62472294418
13,2,8,NA,NA,3,3,253.600022409306,390.690059235638,687.807543875854,887.807543875854
13,3,5,913.004416666667,1513.00441666667,4,4,313.739653257066,444.863084134836,754.426510240547,954.426510240547
13,4,4,682.596791666667,1282.59679166667,5,5,428.357293262093,560.977422458794,948.437327966254,1148.43732796625
14,0,12,NA,NA,1,1,-51.5086692056209,110.682044487512,405.473270013405,605.473270013405
14,1,6,1026.43775,1626.43775,2,2,232.003395526474,374.459064765918,665.221801258791,865.221801258791
14,2,6,682.596791666667,1282.59679166667,3,3,274.378625869226,411.468662695558,708.586147335774,908.586147335774
14,3,5,744.377166666667,1344.37716666667,4,4,364.357886533714,495.481317411484,805.044743517195,1005.04474351720
14,4,4,682.596791666667,1282.59679166667,5,5,439.965199780984,572.585328977685,960.045234485145,1160.04523448514
15,0,12,NA,NA,1,1,-35.3997975385029,126.790916154630,421.582141680523,621.582141680523
15,1,9,NA,NA,2,2,196.689007497944,339.144676737388,629.907413230261,829.907413230261
15,2,8,NA,NA,3,3,247.633766032521,384.723802858853,681.841287499069,881.841287499069
15,3,5,744.377166666667,1344.37716666667,4,4,317.615517235273,448.738948113043,758.302374218754,958.302374218754
15,4,4,550.063791666667,1150.06379166667,5,5,405.585881624596,538.206010821297,925.665916328757,1125.66591632876
